Date,Open1,Close1,Open2,Close2
2001/3/6,24,24.75,10,9.800000191
2001/3/7,24.89999962,25.10000038,9.800000191,9.840000153
2001/3/8,25.04999924,26,9.770000458,9.81000042
2001/3/9,24.5,23.29999924,9.75,9.640000343
2001/3/12,22.75,22.72999954,9.5,9.600000381
2001/3/13,23.45000076,23.78000069,9.5,9.380000114
2001/3/14,22.5,23.94000053,9.329999924,9.25
2001/3/15,24.70000076,23.55999947,9.25,9.369999886
2001/3/16,23.54999924,23.39999962,9.449999809,9.5
2001/3/19,23.5,23.72999954,9.5,9.449999809
2001/3/20,23.60000038,22.43000031,9.449999809,9.100000381
2001/3/21,22,23.29000092,9.100000381,9.300000191
2001/3/22,24.04999924,26.45000076,9.25,9.25
2001/3/23,27.07999992,29.44000053,9.300000191,9.25
2001/3/26,29.5,28.73999977,9.350000381,9.399999619
2001/3/27,28.27000046,29.69000053,9.449999809,9.5
2001/3/28,29,27.70000076,9.5,9.350000381
2001/3/29,27.25,28.29999924,9.380000114,9.300000191
2001/3/30,28.14999962,26.54000092,9.25,9.550000191
2001/4/2,26.70000076,25.5,9.449999809,9.260000229
2001/4/3,24.75,23.68000031,9.149999619,9.199999809
2001/4/4,23.5,20.73999977,9.149999619,9.100000381
2001/4/5,22,23.02000046,9.050000191,8.949999809
2001/4/6,22.79999924,20.04999924,9,8.949999809
2001/4/9,20.29999924,19.70000076,8.949999809,8.949999809
2001/4/10,20,21.31999969,8.949999809,9.140000343
2001/4/11,26,23.51000023,9.130000114,9.079999924
2001/4/12,23.29999924,24.85000038,9.069999695,9
2001/4/16,23.85000038,23.5,9,9.18999958
2001/4/17,23,23,9.350000381,9.149999619
2001/4/18,25,27.85000038,9.25,9.25
2001/4/19,28.86000061,29.01000023,9.25,9.199999809
2001/4/20,29,29,9.25,9.180000305
2001/4/23,27.79999924,27.60000038,9,8.899999619
2001/4/24,27.45000076,27.35000038,8.899999619,8.850000381
2001/4/25,27.35000038,26.89999962,8.920000076,8.949999809
2001/4/26,27.85000038,27.51000023,9,9.050000191
2001/4/27,28.5,30,9.100000381,9.050000191
2001/4/30,30.75,31,9,9.199999809
2001/5/1,30.5,31.86000061,9.140000343,9.25
